herramienta,total_guias_exp,hamming_0,hamming_le1,hamming_le2,hamming_le3,pct_le1,pct_le2,pct_le3,hamming_media,hamming_mediana,hamming_min,hamming_max
CHOPCHOP,40,0,0,0,0,0,0,0,13.03,13,10,16
crisprVerse,40,0,0,0,0,0,0,0,12.75,13,10,16
